p,d_s,d_real,prob_fail,num_samples,prob_success,d
0.0,5.0,3.0,0.0,1000,,
0.0007919088,,,,1000,0.018,3.0
0.0010558784,,,,1000,0.026,3.0
0.0014078379,,,,1000,0.047,3.0
0.0018771172,,,,1000,0.09,3.0
0.0025028229,,,,1000,0.137,3.0
0.0033370972,,,,1000,0.212,3.0
0.0044494629,,,,1000,0.332,3.0
0.0059326172,,,,1000,0.423,3.0
0.0079101562,,,,1000,0.499,3.0
0.0158203125,,,,1000,0.51,3.0
0.031640625,,,,1000,0.503,3.0
0.0421875,,,,1000,0.499,3.0
0.05625,,,,1000,0.4975,3.0
0.075,,,,1000,0.49233333333333335,3.0
0.1,,,,1000,0.49716666666666665,3.0
0.2,5.0,3.0,1.0,1000,,
0.0005939316,,,,1000,0.01,3.0
