p,d,prob_success,num_samples
0.0,5,100.0,1000
0.0028125,5,100.0,1000
0.0036035156,5,100.0,1000
0.0037286568,5,100.0,1000
0.00375,5,99.8,1000
0.0037638527,5,100.0,1000
0.0037703705,5,99.9,1000
0.0037712769,5,100.0,1000
0.0037737516,5,99.8,1000
0.003774989,5,99.8,1000
0.0037755847,5,99.9,1000
0.0037770512,5,99.9,1000
0.0037814507,5,99.9,1000
0.0037912274,5,99.9,1000
0.0038259888,5,99.9,1000
0.0038671875,5,99.9,1000
0.0039001465,5,99.7,1000
0.0039990234,5,99.3,1000
0.00421875,5,98.4,1000
0.005,5,26.200000000000003,1000
0.01,5,0.0,1000
0.02,5,0.0,1000
0.003774061,5,99.9,1000
