p,d,prob_success,num_samples
0.0,7,100.0,1000
0.0007910156,7,100.0,1000
0.0009578705,7,100.0,1000
0.0009842674,7,100.0,1000
0.0009930664,7,98.6,1000
0.0009941663,7,100.0,1000
0.0009957324,7,100.0,1000
0.0009962544,7,99.5,1000
0.0009963197,7,100.0,1000
0.0009965154,7,99.9,1000
0.0009969504,7,98.8,1000
0.0009974659,7,99.3,1000
0.0009978784,7,97.5,1000
0.0009991157,7,99.0,1000
0.0010047984,7,99.4,1000
0.0010134888,7,99.2,1000
0.0010204411,7,99.3,1000
0.0010412979,7,99.2,1000
0.0010546875,7,97.89999999999999,1000
0.0010876465,7,99.1,1000
0.0011865234,7,99.2,1000
0.00140625,7,97.7,1000
0.001875,7,90.8,1000
0.0025,7,67.0,1000
0.005,7,0.0,1000
0.01,7,0.0,1000
0.02,7,0.0,1000
0.0009966133,7,97.3,1000
