p,d,prob_success,num_samples
0.01,7,100.0,1000
0.01,7,98.2,1000
0.01,7,98.4,1000
0.01,7,99.0,1000
0.01,7,99.0,1000
0.01,7,98.0,1000
0.01,7,98.4,1000
0.01,7,98.4,1000
0.01,7,99.0,1000
0.01,7,98.6,1000
0.01,7,97.0,1000
0.01,7,98.2,1000
0.01,7,98.0,1000
0.01,7,98.6,1000
0.01,7,99.2,1000
0.01,7,98.2,1000
0.01,7,98.0,1000
0.01,7,98.8,1000
0.01,7,98.6,1000
0.01,7,99.0,1000
0.01,7,98.0,1000
0.01,7,99.0,1000
0.01,7,98.8,1000
0.01,7,99.4,1000
0.01,7,98.2,1000
0.01,7,98.2,1000
0.01,7,97.8,1000
0.01,7,98.2,1000
0.01,7,98.4,1000
0.01,7,98.4,1000
0.01,7,98.6,1000
0.01,7,98.4,1000
0.01,7,98.6,1000
0.01,7,98.0,1000
0.01,7,98.8,1000
0.01,7,98.6,1000
0.01,7,99.4,1000
0.01,7,98.4,1000
0.01,7,98.2,1000
0.01,7,99.2,1000
0.01,7,98.2,1000
0.01,7,98.8,1000
0.01,7,98.6,1000
0.01,7,98.6,1000
0.01,7,99.4,1000
0.01,7,98.6,1000
0.01,7,99.0,1000
0.01,7,99.2,1000
0.01,7,98.4,1000
0.01,7,99.4,1000
0.01,7,99.2,1000
0.01,7,99.2,1000
0.01,7,98.4,1000
0.01,7,98.4,1000
0.01,7,98.8,1000
0.01,7,99.6,1000
0.01,7,99.2,1000
0.01,7,99.0,1000
0.01,7,98.8,1000
0.01,7,99.0,1000
0.01,7,99.4,1000
0.01,7,97.8,1000
0.01,7,98.2,1000
0.01,7,99.2,1000
0.01,7,98.2,1000
0.01,7,98.2,1000
0.01,7,98.4,1000
0.01,7,99.0,1000
0.01,7,97.6,1000
0.01,7,98.4,1000
0.01,7,98.8,1000
0.01,7,98.4,1000
0.01,7,98.6,1000
0.01,7,97.8,1000
0.01,7,98.8,1000
0.01,7,98.6,1000
0.01,7,98.2,1000
0.01,7,97.6,1000
0.0100000001,7,98.6,1000
0.0100000001,7,97.8,1000
0.0100000001,7,99.0,1000
0.0100000001,7,97.0,1000
0.0100000001,7,99.4,1000
0.0100000001,7,98.4,1000
0.0100000001,7,97.8,1000
0.0100000001,7,98.0,1000
0.0100000001,7,98.0,1000
0.0100000001,7,99.2,1000
0.0100000001,7,98.0,1000
0.0100000001,7,98.2,1000
0.0100000001,7,98.2,1000
0.0100000001,7,98.8,1000
0.0100000001,7,99.0,1000
0.0100000001,7,99.2,1000
0.0100000001,7,99.6,1000
0.0100000001,7,98.2,1000
0.0100000001,7,98.8,1000
0.0100000001,7,98.8,1000
0.0100000001,7,98.4,1000
0.0100000001,7,99.0,1000
0.0100000001,7,98.0,1000
0.0100000001,7,99.0,1000
0.0100000001,7,99.2,1000
0.0100000001,7,99.0,1000
0.0100000001,7,98.6,1000
0.0100000001,7,97.8,1000
0.0100000002,7,98.6,1000
0.0100000002,7,99.4,1000
0.0100000003,7,97.39999999999999,1000
0.0100000004,7,97.6,1000
0.0100000005,7,98.0,1000
0.0100000006,7,98.4,1000
0.0100000008,7,99.0,1000
0.0100000011,7,98.8,1000
0.0100000014,7,98.8,1000
0.0100000019,7,99.2,1000
0.0100000025,7,97.39999999999999,1000
0.0100000033,7,97.6,1000
0.0100000044,7,99.8,1000
0.0100000059,7,98.8,1000
0.0100000079,7,99.2,1000
0.0100000106,7,98.4,1000
0.0100000141,7,99.0,1000
0.0100000188,7,98.4,1000
0.0100000251,7,98.4,1000
0.0100000335,7,99.0,1000
0.0100000447,7,98.4,1000
0.0100000596,7,99.2,1000
0.0100000795,7,98.8,1000
0.010000106,7,98.0,1000
0.0100001413,7,97.6,1000
0.0100001884,7,98.2,1000
0.0100002512,7,98.2,1000
0.0100003349,7,99.4,1000
0.0100004465,7,98.2,1000
0.0100005953,7,98.6,1000
0.0100007937,7,98.0,1000
0.0100010583,7,99.0,1000
0.010001411,7,98.6,1000
0.0100018814,7,98.0,1000
0.0100025085,7,98.4,1000
0.0100033446,7,97.8,1000
0.0100044595,7,98.6,1000
0.010005946,7,99.2,1000
0.010007928,7,98.8,1000
0.0100105707,7,98.4,1000
0.0100140943,7,98.8,1000
0.0100187924,7,98.2,1000
0.0100250565,7,99.6,1000
0.0100334087,7,98.6,1000
0.0100445449,7,99.2,1000
0.0100593932,7,99.2,1000
0.0100791909,7,98.2,1000
0.0101055878,7,99.2,1000
0.0101407838,7,99.0,1000
0.0101877117,7,98.8,1000
0.0102502823,7,98.2,1000
0.0103337097,7,95.39999999999999,1000
0.0104449463,7,95.39999999999999,1000
0.0105932617,7,95.39999999999999,1000
0.0107910156,7,95.0,1000
0.0110546875,7,92.60000000000001,1000
0.01140625,7,82.6,1000
0.011875,7,66.2,1000
0.0125,7,33.2,1000
0.015,7,0.0,1000
0.02,7,0.0,1000
0.01,7,98.8,1000
